nom_produit,prix,categorie,note
"Baume bronzant anti-âge et graduel à l'acide hyaluronique – révolutionnaire 3 en 1 bronzage du visage, hydratant et raffermissant – Formule végan avec parfum ajouté de jojoba et de lavande (50ml)","20,99€",Cosmétique et Beauté,"4,2"
Coffret Routine Complète Visage & Corps Doré,"99,00€",Cosmétique et Beauté,N/A
"Facial Se Rum Formule Légère Et Soyeuse, 60 Ml, Liquide Hydratant Pour Le Visage, Sérums Raffermissants Pour Le Visage, Nutrition Et Protection, Pour Le Maquillage, Les Voyages, Le Jour, La Nuit, Les","5,39€",Cosmétique et Beauté,N/A
"Elizabeth Arden, Visible Brightening Capsules Sérum Correctrices Anti-taches Booster d’Éclat, Serum visage, Soin skincare anti taches brunes, Lisse le teint, Eclat","97,00€",Cosmétique et Beauté,"4,4"
Supreme Protección Muy Alta Spray Spf50+ 100 Ml,"37,21€",Cosmétique et Beauté,"4,0"
Shimmering Skin Perfector - # Topaz - 50 ml,"83,50€",Cosmétique et Beauté,N/A
"KLAPP Skin Boost Hyaluronic 5 x 2 ml, ml, 1, 100, 5 x 2 ml, n/a, 10","19,90€",Cosmétique et Beauté,"4,0"
Tresor Rare De Premier Traitement complet anti-âge pour la peau (concentré complet de la zone des yeux anti-âge) Idée cadeau d'anniversaire unique et coûteux pour homme et femme,"156,95€",Cosmétique et Beauté,"4,2"
"Pompe de Fondation,2 pièces Tête de Distribution de Rechange Ensemble de Pompe de Fondation en Plastique pour la Fondation Estee Lauder Double Wear","8,99€",Cosmétique et Beauté,"4,6"
"Elizabeth Arden - Coffret Lift Starter 3 Pièces, Advanced Ceramide Capsules Sérum, Advanced Ceramide Lift and Firm Crème Jour SPF 15 et Crème Contour des Yeux, Soins pour le Visage Format Voyage","35,00€",Cosmétique et Beauté,"2,0"
"Uriage Age Absolu Crème Anti-Rides - Rétinol, Acide Hyaluronique, Vitamine C & E - Booster Procollagène x6 - Rides, Relâchement - Volume & Hydratation - Velouté Eclat - Brevet Anti-âge Exclusif 50ml","39,33€",Cosmétique et Beauté,"4,5"
