nom_produit,prix,categorie,note
Canard WC - Recharges Fresh Disc Marine – Bloc Sans Cage Nettoyant WC - 3x100 Jours De Nettoyage Puissant – 6 Recharges,"17,97€",Consommation Courante,"4,6"
.IVES St. Ives Fresh Skin Lot de 6 gommages visage à l'abricot 150 ml,"28,41€",Consommation Courante,"4,6"
Knorr Risotto aux Champignons des Bois - plat cuisiné en 12min - simple et rapide - riz 100% italien,N/A,Consommation Courante,"4,2"
"Axe Ice Chill - Gel douche, 400 ml x 6 unités","25,38€",Consommation Courante,"4,6"
Skip - Lessive Liquide Peaux Sensibles - Contre les taches tenaces - Parfum léger et agréable - Testée dermatologiquement - 54 Lavages,N/A,Consommation Courante,"4,6"
SheaMoisture Shampooing Boucles et Brillance pour cheveux épais et bouclés Noix de Coco et Hibiscus 2 x 384 ml,"24,49€",Consommation Courante,"4,0"
SheaMoisture Après-shampooing Intensive Hydration pour cheveux secs et abîmés Miel de Manuka et Huile de Mafura 2 x 384 ml,"24,49€",Consommation Courante,"4,4"
The Story of Unilever : Unilever’s Journey to Global Leadership (English Edition),N/A,Consommation Courante,"5,0"
Dove Advanced Care Gel Douche Huile d'Argan nourrissante 600 ml,"9,03€",Consommation Courante,"4,4"
REGENERATE™ Sérum Expert - Recharge - Régénère le minéral de l'émail dentaire - 2x16ml,"29,25€",Consommation Courante,"4,2"
PEARS Pure & Gentle Lot de 3 flacons de gel douche 10 fois plus hydratant 250 ml,"18,99€",Consommation Courante,"4,6"
Seventh Generation Lot de 45 détergents pour lave-vaisselle,"45,38€",Consommation Courante,"4,5"
Dove Advanced Care Gel Douche Hydratant en Profondeur Hydratant Naturel 600 ml,"9,00€",Consommation Courante,"4,5"
"Cleanerist | 5x5L lessive liquide universelle, 1000+ lavages – nettoyage en profondeur, formule concentrée, parfum frais, 20°C-95°C, pour couleurs, blancs et foncés","48,49€",Consommation Courante,"4,5"
Cattier - Gel douche sans sulfate Parfum Vanille - Tonka 1L,"10,20€",Consommation Courante,"4,0"
Cleanerist | 550 pastilles lave-vaisselle (10 kg) – Tout-en-un dans un film hydrosoluble – compatibles avec toutes les machines – détergent écologique en poudre,"39,95€",Consommation Courante,"4,4"
"Baume À Lèvres | Dove Nourishing Lipcare 4,8g | Essential Intensiv | Rouge À Lèvres","5,28€",Consommation Courante,"4,6"
Vo5 Extreme Style Mat Mat Clay 75 ml,"9,99€",Consommation Courante,"4,6"
Dove 0% Déodorant Roll On 48h Original Sans Aluminium Ni Alcool pour Femme avec 1/4 Crème Hydratante 6X50ml,"23,98€",Consommation Courante,"4,3"
Vaseline Advanced Repair Lotion 200 ML - Pack of 3,"20,14€",Consommation Courante,"4,4"
