nom_produit,prix,categorie,note
"NIVEA MEN Soin Hydratant Extra Doux Peau Sensible (1x75 ml), crème visage hydratante pour homme à la peau sensible et irritée, soin visage homme apaisant 0% alcool","9,69€",Cosmétique et Beauté,"4,4"
"NIVEA Crème mains nourrissante peaux très sèches (1 x 75 ml), soin hydratant à l'huile d'amande douce, crème mains hydratante efficace 24 h",N/A,Cosmétique et Beauté,"4,7"
"NIVEA Crème-Huile Soufflé Perlé Pot Fleur de Cerisier/Huile de Jojoba (1X200), soin corps hydratant ml",N/A,Cosmétique et Beauté,"4,7"
NIVEA Lait corps Hydratation Express 72h (1 x 400 ml) — Lait hydratant à l'Acide Hyaluronique pur — Soin pour le corps hydratant rapide — Sérum nourrissant peaux normales,"8,09€",Cosmétique et Beauté,"4,6"
"NIVEA Q10 Sensitive Soin de Nuit (1 x 50 ml), crème anti rides enrichie en Q10 pur et extrait de réglisse, crème anti-âge booster de collagène, soin visage apaisant pour peaux sensibles","11,99€",Cosmétique et Beauté,"4,5"
NIVEA MEN Gel Douche Sensitive (1 x 250 ml) — Soin lavant enrichi à l'extrait de Bambou — Gel douche homme 3 EN 1 — Soin nettoyant doux Corps Visage & Cheveux pour les peaux sensibles,"2,38€",Cosmétique et Beauté,"4,5"
"NIVEA Q10 Energy Soin de Jour FPS15 (1x50 ml), crème anti rides enrichie en Q10 pur & Vitamine C, crème anti-âge pour un teint éclatant, soin visage énergisant pour peaux ternes et fatiguées","12,02€",Cosmétique et Beauté,"4,4"
"NIVEA - Patch Visage Ultra Purifiant Fraîcheur - Désobstrue Les Pores - Retire Points Noirs, Impuretés & Excès De Sébum - Peau Purifiée, Nette & Fraîche - Acide Citrique - Tous Types De Peaux - x 6","5,30€",Cosmétique et Beauté,"4,2"
"NIVEA MEN Crème Visage Gel Peau & Barbe pour peaux sensibles (1 x 50 ml), crème visage hydratante homme 0% alcool, soin barbe homme apaisant à la peau sensible et irritée","6,79€",Cosmétique et Beauté,"4,4"
"NIVEA Rouge à lèvres Blackberry Shine, 4,8 g de soin","5,44€",Cosmétique et Beauté,"4,3"
NIVEA SUN Sérum Primer Quotidien UV 2en1 SPF 50+ (1 x 30ml) - Sérum Visage hydratant enrichi en Acide Hyaluronique - Base de maquillage - Soin avec écran solaire visage SPF 50+ sans parfum,"11,99€",Cosmétique et Beauté,"4,4"
NIVEA Protect&care Déodorant Atomiseur Spray 200 ml,"4,19€",Cosmétique et Beauté,"4,6"
"NIVEA Déodorant anti-transpirant Dry Comfort (lot de 6 x 50 ml), Déo bille pour femme protection 72H, Déo femme à la formule sans alcool pour tous types de peaux","17,16€",Cosmétique et Beauté,"4,7"
"NIVEA MEN - Crème Hydratante Visage Quotidienne - Hydratation Immédiate & 48H - Hydrocare - Format XXL - Aloe Vera & Pro-Vitamin B5-3 Effets Hydratants - Non Grasse, Non Collante - 100 ml","9,00€",Cosmétique et Beauté,"4,4"
"NIVEA Lot de 2 Cellular Expert Lift Kit de crème anti-rides de jour et de nuit SPF 30, 2x50 ml","24,98€",Cosmétique et Beauté,"4,6"
