nom_produit,prix,categorie,note
"ANAiRUi Tampons Nettoyants Exfoliants au Acide Kojique de Curcuma, avec Niacinamide, Acide Salicylique, Traitement Facial Nettoyant en Profondeur, Réduction, Contrôle de l'acné et du Sébum, 50 Pièces","16,99€",Cosmétique et Beauté,"3,9"
NYX Professional Makeup Fat Oil Body - Brume Parfumée Corps & Cheveux - Notes de Vanille & Crème fouettée - Pour les Baddies Qui S'Assument ! - Version : SUGA BADDIE - Format Standard,"14,00€",Cosmétique et Beauté,N/A
Parfum Femme Eau De Rochas Rochas EDT,N/A,Cosmétique et Beauté,"4,6"
Parfum Femme SOLINOTES Thé Blanc - Eau De Parfum | Fragrance Florale et Apaisante - Cadeau Parfait pour Elle - 50 ml,"20,50€",Cosmétique et Beauté,"4,3"
"Nuxe Eau de Toilette, 30 ml, 1 Unité","12,59€",Cosmétique et Beauté,"4,6"
"CACHAREL Yes I Am Bloom Up! - Eau de Parfum Femme - Floral Ambré - Accords de Baies Rouges, Pivoine Rouge & Bois de Santal - Tenue Longue Durée - Spray Vaporisateur","34,95€",Cosmétique et Beauté,"4,6"
Dior,"10,99€",Cosmétique et Beauté,"4,6"
Jaipur Homme Eau de Parfum Vaporisateur 100 ml,"46,66€",Cosmétique et Beauté,"4,7"
"Clinique Aromatics Elixir Eau De Parfum | Parfum Culte | Notes de Rose Bulgare, Ylang-Ylang, Patchouli, Jasmin + Vétiver","134,95€",Cosmétique et Beauté,"4,6"
Grès Madame Grès Eau de parfum pour femme 100 ml,"24,85€",Cosmétique et Beauté,"4,5"
Lolita Lempicka Lolita Lempicka Le Parfum for Women 3.4 oz EDP Spray,"62,00€",Cosmétique et Beauté,"4,3"
"Cacharel - Eden - Eau de Parfum - Parfum Féminin Sensuel, Mystérieux et Séduisant - Fragrance Florale - Longue Tenue - Parfum de Luxe pour Femme","49,00€",Cosmétique et Beauté,"4,6"
Elizabeth Arden - Red Door - Eau de toilette pour Femme - Senteur Florale - Spray Vaporisateur - Parfum Durable et Intense - Symbole de Charme et de Luxe,"29,21€",Cosmétique et Beauté,"4,4"
"AZZARO The Most Wanted Parfum Pour Lui - Parfum Homme - Fougère Ambré Épicé - Gingembre, Vanille Bourbon & Bois Ambré - Tenue Longue Durée - Spray Vaporisateur","91,50€",Cosmétique et Beauté,"4,6"
"M. Asam MAGIC FINISH Stick contouring Light-Medium (8 g) - Formule 3 en 1 texture crème, estompage facile et effet sculptant, sublime les traits avec des jeux d'ombre et de lumière, crème ultra-douce","16,99€",Cosmétique et Beauté,"4,5"
"M. Asam MAGIC FINISH Ultra Glaze Cheeky-Rose (4ml) – Gloss rose frais à l'effet volume, hydratation et brillance absolues, parfum gourmand de vanille, formule hydratante à l'acide hyaluronique","10,99€",Cosmétique et Beauté,"4,2"
"CATKIN Serum Plumping Lip Gloss, Gloss Repulpant Levres, Huile à Lèvres Teintée, Pulpeuses, Rafraîchissantes, Hydratation, Longue Tenue, Non gras, Contient 90% d'essence Nourrissante, 3.5 ml","16,99€",Cosmétique et Beauté,"4,3"
"Geoffrey Beene, Grey Flannel, Eau de toilette pour Homme Senteur Boisée et Orientale, Fragrance Chyprée Verte Unique, Authentique et Sophistiqué, Avec trois notes de parfum, 120 ml","18,75€",Cosmétique et Beauté,"3,9"
Maroussia - Eau de Toilette Slava Zaitsev - 100 ml,"35,90€",Cosmétique et Beauté,"4,6"
"Mauboussin - Coffret Prestige In Red : Eau de Parfum 100ml, Lait Corps 75ml, Travel Spray 20ml & Sac Bandoulière","47,90€",Cosmétique et Beauté,"4,3"
"Roger&Gallet - Cologne Twist - Parfum Frais aux Notes de Citron, Sauge, Bergamote et Bois de Cachemire - Eau de Cologne avec 95% d’Ingrédients Naturels - Fragrance Mixte Revitalisante","32,89€",Cosmétique et Beauté,"4,5"
"Elizabeth Arden 5th avenue NYC DREAM Eau de de Parfum Femme, Floral et Epicée, Vaporisateur 75ml","16,92€",Cosmétique et Beauté,"3,9"
Mauboussin - Elixir Pour Elle 100ml + 20ml (Travel Spray) - Eau de parfum Femme - Senteur Florale & Orientale,"42,90€",Cosmétique et Beauté,"4,7"
"OULAC Métallique Briller Rouge à lèvres, Glitter 3D Longue durée Haut pigmenté et fort impact, Imperméable et résistant à la transpiration Maquillage, 4,3 g, Or du Sahara (10)","7,99€",Cosmétique et Beauté,"4,1"
"Cacharel - Anaïs Anaïs - Eau de Toilette - Parfum Féminin Tendre, Délicat & Doux - Fragrance Fraîche & Florale - Tenue Longue Durée - Parfum de Luxe pour Femme","38,95€",Cosmétique et Beauté,"4,5"
"GUESS Seductive, Eau de Toilette pour Femme, Parfum Fruité Floral, Parfum Sensuel Longue Durée, 125 ml","28,95€",Cosmétique et Beauté,"4,4"
Cacharel - Yes I Am Glorious - Eau de Parfum - Parfum Rayonnant pour Femme Confiante - Fragrance Fruitée et Florale - Longue Tenue - Parfum de Luxe pour Femme,"44,00€",Cosmétique et Beauté,"4,7"
"GUESS Seductive Noir, Eau de Toilette pour Femme, Parfum Floral, Parfum Sensuel Longue Durée, 30 ml","16,00€",Cosmétique et Beauté,"4,4"
"SKY -Eau de Parfum Dubai pour Femme - 65ml - Parfum Floral Étoilé, Musqué, Exotique - Idée Cadeau","34,90€",Cosmétique et Beauté,"4,8"
"d'Alba First Spray Serum Sérum en Spray à la Truffe Blanche Italienne, Soin Végétalien, Brume Hydratante pour le Peau Radieuse, Sérum éclat, Soin Tout-en-Un (50ml)","15,99€",Cosmétique et Beauté,"4,4"
"Pinceau de maquillage M. Asam Magic Finish Kabuki (1 pièce), poils synthétiques doux pour finition aérographe, parfait pour la poudre, le blush et la poudre bronzante","14,99€",Cosmétique et Beauté,"4,4"
"Farmacy Tonique éclaircissante pour le visage - Toner avec 3% TXA, acide azélaïque et PHA, 120 ml","40,72€",Cosmétique et Beauté,"4,4"
ZOERAY Bracelet Femme Argent 925/Or en Trefle à 4 Feuilles Réglable Bracelet 18K Plaqué Or en Zircon Cubique Papillon Fleur Bracelets Amitié Parure Bijoux Idée Cadeau Marraine Anniversaire Femme Fille,"13,99€",Cosmétique et Beauté,"4,5"
Rumeur Edp Vapo 100 Ml,N/A,Cosmétique et Beauté,"4,7"
"Guerlain, Visionnaire depuis 1828",N/A,Cosmétique et Beauté,"5,0"
AYAT PERFUMES – Extrait Eau de Parfum Vivid Pink 100 ml – Collection Diamond Series – Parfum Oriental de Dubaï pour Femme – Jolie Bouteille Fabriquée aux Émirats,"29,99€",Cosmétique et Beauté,"4,0"
Lanvin - Éclat d'Arpège - Eau de parfum en flacon vaporisateur - 30 ml,"21,99€",Cosmétique et Beauté,"4,2"
Petit manuel à l'usage de ceux pour qui l'oral est un cauchemar,"13,90€",Cosmétique et Beauté,"4,2"
"AYAT PERFUMES – SPARKLE SERIES Eau de Parfum Femme 100 ml Pink Gold | Parfum Floral Gourmand aux Notes de Pêche, Jasmin & Vanille | Parfum Oriental Sensuel Longue Tenue – Fabriqué à Dubaï","25,00€",Cosmétique et Beauté,"4,0"
"GUESS Seductive Red, Eau de Toilette pour Femme, Parfum Gourmand, Parfum Sensuel Longue Durée, 30 ml","29,00€",Cosmétique et Beauté,"4,4"
"Roberto Cavalli Florence, Eau de Parfum pour Femme, Parfum opulent","26,95€",Cosmétique et Beauté,"4,3"
Guerlain : Les flacons à parfum depuis 1828,N/A,Cosmétique et Beauté,"5,0"
"MUGLER ANGEL FANTASM Eau De Parfum Rechargeable Pour Elle - Parfum Pour Femme - Gourmand, Ambré et Fruité","139,90€",Cosmétique et Beauté,"4,6"
"Moroccanoil L'Originale Eau de Parfum, 60ml","90,00€",Cosmétique et Beauté,"4,4"
"Parfums (Calendrier mural 2025 DIN A3 horizontal), CALVENDO calendrier mensuel: Parfums Guerlain","31,99€",Cosmétique et Beauté,N/A
Spray Intrude 100ml (L'INTRUDE),"21,38€",Cosmétique et Beauté,"4,2"
Mauboussin - A la Folie 100ml - Eau de Parfum Femme - Senteur Florale & Orientale,"38,90€",Cosmétique et Beauté,"4,5"
"Mauboussin - Star Chérie 90ml + 20ml (Travel Spray) - Eau de Parfum Femme - Senteur Florale, Orientale, Fruitée & Gourmande","41,40€",Cosmétique et Beauté,"4,1"
"Jennifer Lopez Eau de parfum Live Luxe, vaporisateur, 100 ml, parfum délicat provenant d’un stockiste autorisé","29,34€",Cosmétique et Beauté,"4,2"
"La Rive Madame Isabelle - Eau de parfum pour femmes, 90 ml","15,65€",Cosmétique et Beauté,"3,4"
"Makeup Revolution, Lip Swirl Ceramide Gloss, Brillant à lèvres, Rose Fruité, 4.5ml","5,99€",Cosmétique et Beauté,"3,8"
Miroirs transatlantiques: La France et les Etats-Unis entre passions et indifférences,"27,50€",Cosmétique et Beauté,N/A
"DKNY 24/7, Eau de Parfum pour Femme, Parfum Floral Boisé, Fragrance Longue Durée","21,44€",Cosmétique et Beauté,"4,4"
El Taller de l’Alquímia: El perfum és la forma més intensa del record. JP Guerlain (Catalan Edition),"5,99€",Cosmétique et Beauté,N/A
MADEMOISELLE EDP 30ml,"33,81€",Cosmétique et Beauté,"4,7"
GUERLAIN,N/A,Cosmétique et Beauté,"5,0"
EAU DES MERVEILLES BLEUE,"124,59€",Cosmétique et Beauté,"5,0"
"Angelady Bracelet Femme Infini 7in Plaqué Argent Bracelet Or Rose avec des Cristaux, Bracelet Femme Cadeau Fête des Mères Anniversaire Femme Maman - avec Boîte Cadeau","32,99€",Cosmétique et Beauté,"4,3"
"AYAT PERFUMES – SPARKLE SERIES Eau de Parfum Femme 100 ml Pink Gold | Parfum Floral Gourmand aux Notes de Pêche, Jasmin & Vanille | Parfum Oriental Sensuel Longue Tenue – Fabriqué à Dubaï","25,00€",Cosmétique et Beauté,"4,0"
El Taller de l’Alquímia: El perfum és la forma més intensa del record. JP Guerlain (Catalan Edition),"5,99€",Cosmétique et Beauté,N/A
GUERLAIN,N/A,Cosmétique et Beauté,"5,0"
"MUGLER ANGEL FANTASM Eau De Parfum Rechargeable Pour Elle - Parfum Pour Femme - Gourmand, Ambré et Fruité","139,90€",Cosmétique et Beauté,"4,6"
Et soudain vint l'été,"13,99€",Cosmétique et Beauté,"3,8"
Flacons Guerlain,N/A,Cosmétique et Beauté,"4,9"
Mauboussin - A la Folie 100ml - Eau de Parfum Femme - Senteur Florale & Orientale,"38,90€",Cosmétique et Beauté,"4,5"
La passion du dessin. La collection privée de Florence et Daniel Guerlain,"25,00€",Cosmétique et Beauté,N/A
"Mauboussin - Star Chérie 90ml + 20ml (Travel Spray) - Eau de Parfum Femme - Senteur Florale, Orientale, Fruitée & Gourmande","41,40€",Cosmétique et Beauté,"4,1"
Spray Intrude 100ml (L'INTRUDE),"21,38€",Cosmétique et Beauté,"4,2"
Les noyés du Canal de Roubaix: Une nouvelle enquête d'Arthur Guerlain,"9,50€",Cosmétique et Beauté,"4,0"
"La Rive Madame Isabelle - Eau de parfum pour femmes, 90 ml","15,65€",Cosmétique et Beauté,"3,4"
"Moroccanoil L'Originale Eau de Parfum, 60ml","90,00€",Cosmétique et Beauté,"4,4"
Meurtres à Roubaix: Une enquête d'Arthur Guerlain,"8,44€",Cosmétique et Beauté,"4,5"
GUERLAIN,N/A,Cosmétique et Beauté,"5,0"
Guerlain; Visionary Since 1828,"120,00€",Cosmétique et Beauté,N/A
"Jennifer Lopez Eau de parfum Live Luxe, vaporisateur, 100 ml, parfum délicat provenant d’un stockiste autorisé","29,34€",Cosmétique et Beauté,"4,2"
Clinique True Bronze Poudre Compacte Bronzante | Éclat Hâlé + Fini Naturel,"44,50€",Cosmétique et Beauté,"4,7"
EAU DES MERVEILLES BLEUE,"124,59€",Cosmétique et Beauté,"5,0"
"Pérdida de sentido por las diferencias culturales en la traducción: Serie: ""How I Met Your Mother o Cómo Conocí A Tu Madre""","63,99€",Cosmétique et Beauté,N/A
"Cacharel - Anaïs Anaïs Premier Délice - Eau de Toilette - Parfum Féminin Doux, Frais et Juvénile - Fragrance Fruitée et Florale - Parfum de Luxe pour Femme","56,50€",Cosmétique et Beauté,"4,5"
Guerlain: Une icône impériale,N/A,Cosmétique et Beauté,N/A
MADEMOISELLE EDP 30ml,"33,81€",Cosmétique et Beauté,"4,7"
"DKNY 24/7, Eau de Parfum pour Femme, Parfum Floral Boisé, Fragrance Longue Durée","21,44€",Cosmétique et Beauté,"4,4"
"GUESS Seductive Blue, Eau de Toilette pour Femme, Parfum Floral et Fruitée, Senteur Fraîche et Addictive, Longue Durée, 30 ml","16,00€",Cosmétique et Beauté,"4,5"
Lolita Lempicka Eau de parfum pour femmes - Vaporisateur - 100mL,"50,00€",Cosmétique et Beauté,"4,5"
Parfum Femme SOLINOTES Bois de Oud - Eau De Parfum | Fragrance Florale et Apaisante - Cadeau Parfait pour Elle - 15 ml,"11,00€",Cosmétique et Beauté,"3,9"
Voyages de parfums,N/A,Cosmétique et Beauté,"4,5"
Parfums Gres Cabotine Rosalie For Women 3.4 oz EDT Spray,"23,22€",Cosmétique et Beauté,"4,4"
"GUESS Seductive Blue, Eau de Toilette pour Femme, Parfum Floral et Fruitée, Senteur Fraîche et Addictive, Longue Durée, 50 ml","25,00€",Cosmétique et Beauté,"4,6"
"OULAC Encre à Lèvres Liquide Mate, Rouge Foncé Rouge à lèvres Longue Tenue, Fini Mat, Couleur Intense Lip Tint, Infusée en vitamine E, Végétalien et Sans Cruauté, 4,5ml (M01) Kiss me now","8,99€",Cosmétique et Beauté,"3,9"
""" Mon eau"" Lolita Lempicka, Eau de parfum - 30 ml.","19,75€",Cosmétique et Beauté,"4,5"
ARMAF Club De Nuit Maleka Eau de Parfum 105 ml,"36,40€",Cosmétique et Beauté,"4,5"
Les Routes de mes parfums,N/A,Cosmétique et Beauté,"4,5"
BIOTHERM - Eau Vitaminée - Parfum Femme - Fraîcheur & Parfum Agréable - Enrichie en Essences d'Agrumes - Pour Tous Types de Peau - 100 ml,"55,00€",Cosmétique et Beauté,"4,7"
Guerlain,N/A,Cosmétique et Beauté,N/A
JEANNE ARTHES - Eau de Parfum Femme - Guipure & Silk - Floral & Fruité -Amande Douce & Coco - Fabriqué en France à Grasse - Cadeau femme - 100 ml,N/A,Cosmétique et Beauté,"4,3"
"GUESS Seductive Red, Eau de Toilette pour Femme, Parfum Gourmand, Parfum Sensuel Longue Durée, 50 ml","37,19€",Cosmétique et Beauté,"4,5"
"Elizabeth Arden Coffret Eau de Parfum Femme 5th Avenue, Cadeau femme, Senteur Florale et Séduisante, Crème Corps et parfum","63,00€",Cosmétique et Beauté,"4,6"
Mauboussin - Mademoiselle Twist 90ml - Eau de Parfum Femme - Senteur Florale & Orientale,"37,90€",Cosmétique et Beauté,"4,5"
"GUESS Seductive Noir, Eau de Toilette pour Femme, Parfum Floral, Parfum Sensuel Longue Durée, 75 ml","26,27€",Cosmétique et Beauté,"4,4"
Suddenly Chalou - Eau de parfum végétalienne - 75 ml,"16,93€",Cosmétique et Beauté,"4,3"
Le printemps de Guerlain,N/A,Cosmétique et Beauté,"3,0"
Jean-Pierre Sand Gattina Black EdP pour femme 75 ml,"23,88€",Cosmétique et Beauté,"4,6"
Mauboussin - Promise Me Intense 90ml - Eau de Parfum Femme - Senteur Orientale & Florale,N/A,Cosmétique et Beauté,"4,3"
Inessance Paris - Eau de Parfum pour Femme Mademoiselle Inessance - Parfum aux Notes Fleuries et Fruités - Flacon Chic et Moderne - Fabriqué et Conditionné en France - 50ml,"9,29€",Cosmétique et Beauté,"4,1"
"Sangado L'inoubliable Parfum Pour Femme, 8-10 Heures Longue Durée, Senteur Luxe, Oriental Floral, Essences Françaises Fines, Extra-Concentré, 50 Ml Spray","17,99€",Cosmétique et Beauté,"3,9"
La cote des échantillons Guerlain,N/A,Cosmétique et Beauté,N/A
