nom_produit,prix,categorie,note
FILORGA Hydra-Hyal Hydrating Plumping Water Cream 50ml,"39,76€",Cosmétique et Beauté,"4,7"
[MIZON] COLLAGEN POWER FIRMING ENRICHED CREAM (50ml) Soin coréen - Crème pour le visage ultra riche - 54% de collagène marin - Soin intensif anti-âge revitalisant,"21,62€",Cosmétique et Beauté,"4,4"
[MIZON] COLLAGEN 100 (30ml) Soin coréen - Sérum au collagène marin - Soin intensif anti-âge - Réduction des rides & ridules - Hydratation & Elasticité - Ingrédients naturels,"13,39€",Cosmétique et Beauté,"4,2"
"Lierac Premium - Le Sérum Absolu Anti-Âge Global 30 ml - Corrige 9 Signes de l’Âge : Rides, Taches, Perte de Fermeté - Sérum Visage Éclat, Hydratation et Uniformité - Toutes Peaux","71,99€",Cosmétique et Beauté,"4,1"
"Mixa - Huile Anti-Vergetures - 30% d’Omégas 6 & 9 - Réduit la Couleur, la Texture et l’Épaisseur des Vergetures Post-Grossesse ou Variations de Poids et de Taille - 100 ml","9,29€",Cosmétique et Beauté,"4,5"
"Biotherm Homme, Aquapower Comfort Gel Peaux Sèches, Gel Hydratant Visage pour Homme, texture non Collante à Absorption Rapide, Pour Lutter Contre le Dessèchement et les Agressions Extérieurs 75 ml","32,65€",Cosmétique et Beauté,"4,6"
"GARNIER Skin Active - Soin Yeux Booster D'Éclat - Réduit Les Cernes & Signes De Fatigue - Niacinamide, Caféine, Vitamine C, Poudre De Banane - Vegan & Cruelty Free - Tous Types de Peaux - 15 ml","8,00€",Cosmétique et Beauté,"4,2"
"Erborian - Matte Crème - Base de Teint Matifiante Visage 5-en-1 - Soin Effet Flouté, Affine le Grain de Peau, Prépare au Maquillage - Soin Coréen",N/A,Cosmétique et Beauté,"4,4"
L'Oréal Paris - Coffret Routine 2 Produits Anti-Âge & Anti-Rides - Sérum Repulpant + Soin Jour Volumisant - Enrichi à l’Acide Hyaluronique - Pour Tous Types de Peaux - Revitalift Filler,"27,90€",Cosmétique et Beauté,"4,5"
"Autobronzant Naturel & Intense - 86% De Satisfaction Après 60 Jours, Pigments Naturels - Teint Hâlé & Lumineux Sans Soleil - Beta Carotene, Vitamines D & E - 60 Gélules - Vegan - Beyond Elements","13,90€",Cosmétique et Beauté,"3,6"
"LUXEOL - Sérum Epaississant Sans Rinçage - +35% D'Epaisseur Dès la 1ère Utilisation* - Efficacité Prouvée - à l'Algue Rouge, Protéine de Riz & Acide Hyaluronique - Fabriqué en France - 100 ml","29,20€",Cosmétique et Beauté,"4,0"
[MIZON] 7 VEGAN PEPTIDE BOOSTER SERUM (150ml) Soin Coréen - Clean girl Glass skin en 7 secondes - Réduction des pores - Peau Lisse & Repulpée - Hydratation Profonde & Anti-Âge,"20,90€",Cosmétique et Beauté,"4,3"
"LE PETIT OLIVIER - Crème Jour & Nuit Anti-Âge - Huile d'Argan, Vitamine C & Acide Hyaluronique - Lisse Repulpe & Illumine - Tous Types de Peaux - 97% d'Origine Naturelle - Fabriqué en France - 50 ml","9,92€",Cosmétique et Beauté,"4,4"
RoC - Multi Correxion Anti-Affaissement Firm + Lift Crème pour le Visage - Anti-Rides et Vieillissement - Anti-Âge - Effet Lifting Cosmétique - 50 ml,"39,97€",Cosmétique et Beauté,"4,2"
"L’Oréal Paris – Sérum 12% Vitamine C Pure + Acide Salicylique + Vitamine E – Antioxydant & Anti-Âge – Teint irrégulier, Pores et Ridules – Flacon Anti-UV – Revitalift Clinical – 30 ml","11,09€",Cosmétique et Beauté,"4,3"
Erborian - Super BB Crème au Ginseng - Soin du Visage Teinté Haute Couvrance Anti-Imperfections - Correcteur et Perfecteur de Teint - Protection Solaire SPF 20 - Cosmétique Coréen,"17,99€",Cosmétique et Beauté,"4,4"
"IT Cosmetics CC+ Crème, Fond de Teint Haute Couvrance SPF 50, Correcteur de Teint & Sérum Anti-Âge","41,50€",Cosmétique et Beauté,"4,3"
"Masque Collagene Visage, 5 Pièces Bio Collagen Face Mask, Hydratant Anti-âge, Resserre les Pores, Améliore L'élasticité de la Peau, Masque Collagène pour Tous Types de Peau","13,29€",Cosmétique et Beauté,"4,0"
NIVEA - BB Crème 5 En 1 Teinte Médium - Crème Visage FPS 15 - Hydratation 24H - Réduit Imperfections & Signes De Fatigue - Huile De Jojoba Bio & Pigments Minéraux - Vegan - Tous Types De Peaux - 50 ml,"7,89€",Cosmétique et Beauté,"4,4"
"MIXA - Cica Baume - Crème Réparatrice Multi-Usage - Apaise & Protège - Réparation 8x Plus Rapide* - Texture Riche - Panthénol + Glycérine - Adultes, Enfants & Bébés - Peaux Sèches Irritées - 50 ml","6,35€",Cosmétique et Beauté,"4,8"
[MIZON] PORE FRESH PEELING TONER PAD (x60) Soin coréen - AHA + BHA + PHA - Apaise & Exfolie en douceur - Resserre les pores - Disques avec lotion Exfoliante - Convient aux Peaux sensibles,"23,00€",Cosmétique et Beauté,"4,4"
"Polåar - Crème Anti-âge Nuit Revitalisante Nuit Polaire aux Algues Boréales - Lisse rides et ridules, Détoxifie, Régénère - Tous types de peau - 95% Naturel, Vegan, Made in France - 50 ml","43,30€",Cosmétique et Beauté,"4,6"
Erborian - Crème Teintée CC Water à la Centella Asiatica - Soin Visage Perfecteur de Peau avec Acide Hyaluronique - Texture Gel Ultra Légère et Fraîche - Soin Cosmétique Coréen,"23,90€",Cosmétique et Beauté,"4,5"
L'Oréal Paris - Soin Contour des Yeux Revolumisant - Embout Double Applicateur Révolutionnaire - Résultats Anti-Âge Visibles - Concentré en Acide Hyaluronique Pur - Revitalift Filler - 15 ml,"13,88€",Cosmétique et Beauté,"4,2"
La Maison des Sultans - Savon Masque Lait de Chèvre Bio et Huile d'Argan Bio - Fabriqué en France - Visage et Corps - Anti-Imperfections - Doux - 99% Naturels - 100g,"15,50€",Cosmétique et Beauté,"4,4"
"Biotherm, Biosource Nettoyant Moussant Visage, Adoucissant et Démaquillant, Enrichi en Biotech Plankton, Pour Peaux Sèches, 150 ml","19,16€",Cosmétique et Beauté,"4,4"
MIXA - Autobronzant - Lait Corps Nourrissant Effet Soleil - Autobronzant Progressif 24H - Nutrition - Beurre de Karité & Huile d’Abricot - Corps & Visage - Peaux Mates - 250ml,N/A,Cosmétique et Beauté,"4,4"
"L'Oréal Paris Démaquillant Doux Yeux & Lèvres Waterproof, 125 ml","2,95€",Cosmétique et Beauté,"4,6"
"GARNIER Skin Active - Soin Visage Illuminateur - Hydrate & Illumine - Vitamine C, Glycérine, Niacinamide & Acide Salicylique - Vegan & Cruelty Free - Tous Types de Peaux - Unisexe - 120ml","10,99€",Cosmétique et Beauté,"4,4"
"SVR - Topialyse Baume Lavant - Nettoyant apaisant sans sulfate - Pour peaux très sèches à atopiques - Huiles de coton & coco, niacinamide, prébiotiques - 400 ml",N/A,Cosmétique et Beauté,"4,6"
"Biotherm, Aquasource, Gel Hydratant Concentré, Enrichi en Plancton de Vie, Tous Types de Peau, 50 ml","22,96€",Cosmétique et Beauté,"4,5"
Laboratoires de Biarritz - Lait Autobronzant - Hâle Naturel & Lumineux - Certifié Bio - Visage & Corps - Fabriqué en France - 150 ml,"19,50€",Cosmétique et Beauté,"4,2"
L'Oréal Paris - Revitalift Laser X3 - Sérum Visage Anti-Âge Peau Neuve Triple Action Multi-Correction - À l'Acide Hyaluronique et au Pro-Xylane Concentré (3%) - Pour Tous Types de Peaux - 30 ml,"14,70€",Cosmétique et Beauté,"4,4"
L'OCCITANE - Gel Douche Exfoliant Amande Sublime - 250 ml - Nettoie et exfolie en douceur - Fabriqué en France,"22,00€",Cosmétique et Beauté,"4,3"
L'OCCITANE - Crème Ultra Riche Corps Karité Confort - Tous types de peau - Fabriqué en France,"42,00€",Cosmétique et Beauté,"4,8"
"Yepoda The Porefect Pad, tampons toniques exfoliants à l’eau de rose, AHA, BHA & PHA, Exfoliation douce & raffermissant les pores, tampons toniques coréens végétaliens pour tous les types de peau, 60","29,00€",Cosmétique et Beauté,"4,6"
"Bi-Oil Huile de Soin Pour la Peau - Soin Spécialisé pour les Vergetures, Cicatrices, Peau Sèche et Teint Irrégulier - 1 x 60 ml","7,98€",Cosmétique et Beauté,"4,6"
"L’Oréal Paris – Coffret Duo Age Perfect Renaissance Cellulaire – 1x Crème de Jour Revitalisante et 1x Midnight Sérum Anti-rides, Fermeté, Éclat – Au Complexe Antioxydant – Tous Types de Peaux","27,90€",Cosmétique et Beauté,"4,4"
RoC Multi Correxion Revive + Glow Gel Cleanser – Soin Nettoyant Visage et Exfoliant | Illuminateur à la Vitamine C et Acide Glycolique | 177 ml,"15,90€",Cosmétique et Beauté,"4,2"
Melvita - Eau Extraordinaire - Essence Hydra-Repulpante Source de Roses - Water Boost - Micro Acide Hyaluronique - Hydratation Intense - Peau Éclatante - 150 ml,"18,89€",Cosmétique et Beauté,"4,3"
BIOTHERM - Eau Vitaminée - Parfum Femme - Fraîcheur & Parfum Agréable - Enrichie en Essences d'Agrumes - Pour Tous Types de Peau - 100 ml,"36,87€",Cosmétique et Beauté,"4,7"
"Laboratoires de Biarritz – La Crème de Biarritz – Hydrate & Aide à Prévenir les Premières Rides – Formule Vegan – Certifiée Bio – Visage, Cou & Décolleté – Fabriquée en France – 50 ml","20,90€",Cosmétique et Beauté,"4,6"
"Elizabeth Arden, Advanced Ceramide Capsules, Sérum Quotidien Rénovateur de Jeunesse, Soin Skincare, Sérum Triple Effet Anti-Âge, Lutte contre les rides et ridules, Répare et Hydrate","37,15€",Cosmétique et Beauté,"4,5"
"Uriage Eau Thermale Masque de Nuit Hydratant à l'Acide Hyaluronique & Edelweiss - La Peau est Regénérée comme après 8 Heures de Sommeil - Parfum Floral, Texture Gel Fraîche - Non Comédogène - 50ml","14,89€",Cosmétique et Beauté,"4,5"
"LUXÉOL - Shampoing Épaississant - +35% D'Épaisseur Dès la 1ère Utilisation* - Efficacité Prouvée - à l'Algue Rouge, Protéine de Riz & Acide Hyaluronique - Sans Silicones - Fabriqué en France - 200 ml",N/A,Cosmétique et Beauté,"4,0"
L'Oréal Men Expert - Soin Hydratant Anti-Fatigue 24H pour Homme - Hydrate & Illumine - Concentré en Vitamine C Pure 10% - Usage Quotidien - Hydra Energetic - Format XXL - 100 ml,"16,00€",Cosmétique et Beauté,"4,5"
"60 ml Bio Sérum Visage à la Vitamine C, Acide Hyaluronique Pur, Vit. E, B5 et Niacinamide. Anti-Rides, Anti-Taches, Anti-âge et Hydratant. Soin Visage Vegan & Cruelty Free.Testé Dermatologiquement","16,99€",Cosmétique et Beauté,"4,1"
"L'Oréal Paris - Lotion Peeling Visage Lissante et Exfoliante - Élimine les Points Noirs, Pores Dilatés & Imperfections - À l'Acide Glycolique 5% - Peeling Toner Revitalift - 180 ml","11,99€",Cosmétique et Beauté,"4,3"
Erborian - Skin Hero Eye - Perfecteur Yeux Non Teinté + Soin Anti-Fatigue Anti-Cernes Revitalisant en 7 Jours - Texture Légère - Cosmétique Coréen - 10 ml,"35,00€",Cosmétique et Beauté,"4,1"
L'OCCITANE - Gommage Corps Riche Karité Confort - 200 ml - Exfolie et nourrit - Fabriqué en France,"34,00€",Cosmétique et Beauté,"4,6"
Urgo – Patch hydrocolloïde – Micro-needling – Peaux à tendance acnéique – Collagène Niacinamide Acide hyaluronique Vitamine E – Cible et résorbe le bouton – 9 patchs – Note Yuka : 93/100*,"10,50€",Cosmétique et Beauté,"4,5"
"Biotherm, Collagen Fit, Crème Corps Hydratante et Raffermissante, Enrichie en Biotech Plankton, Fractions de Peptides de Collagène et Céramides, Tous Types de Peau, 200 ml","32,15€",Cosmétique et Beauté,"4,1"
"Elizabeth Arden, Eight Hour Cream, Baume Réparateur, Soin pour le visage hydratant, Soin Beauté de nuit Fondant, Formule Skincare Légère et Absorption Instantanée","28,55€",Cosmétique et Beauté,"4,2"
La Provençale Oleo-Jeunesse - Crème Booster d'Hydratation Anti-âge Certifiée Bio - Omégas d'huile d'Olive verte & Acide hyaluronique - Tous types de peaux - Efficacité Prouvée - 50 ml,"6,99€",Cosmétique et Beauté,"4,4"
Melvita - Soins Visage Anti-âge Global - Nectar Sublime - Pour une peau nourrie et plus ferme - Pour un contour du visage redessiné - Pour tous types de peau - Fabriqués en France,"42,70€",Cosmétique et Beauté,"3,9"
Nuxe rêve de miel baume visage ultra-réconfortant 50ml,"24,89€",Cosmétique et Beauté,"4,6"
Maybelline New York - Baume Huile Hydratant - Lèvres Lissées et Brillantes - Effet Laqué - Enrichi en Acide Hyaluronique et Extrait de Cerises - Lifter Glaze - Teinte : 008 Acai Glaze,"6,98€",Cosmétique et Beauté,"4,4"
Acerumen Spray Hygiene Of The Ear 40 ml,"15,91€",Cosmétique et Beauté,"4,5"
"d'Alba Double Sérum à la Truffe Blanche Italienne, Multi-Baume Tout-en-Un, Soin de la Peau Végétalien, Traitement 3-en-1, Baume de Traitement des Yeux en Stick, Soin Coréen pour la Peau","23,99€",Cosmétique et Beauté,"4,4"
"Noche y Día, Coffret Vitamine C, Soin Antioxydant et Iluminateur, Sérum Visage Concentré 30 ml, Crème Revitalisante 60 ml, Cadeau de 5 Ampoules Sérum Iluminateur AntiOx 2ml","39,90€",Cosmétique et Beauté,"4,2"
"Yepoda The Porefect Pad, tampons toniques exfoliants à l’eau de rose, AHA, BHA & PHA, Exfoliation douce & raffermissant les pores, tampons toniques coréens végétaliens pour tous les types de peau, 60","29,00€",Cosmétique et Beauté,"4,6"
"medicube Hidratante Facial Deep Vitamin C Golden Capsule, Cápsulas Liposomales Para Arrugas, Gel Transparente Para Una Piel Radiante Y Luminosa – 1.94 oz","17,90€",Cosmétique et Beauté,"4,6"
"Mixa - Sérum Booster d'Hydratation Hyalurogel - Pour Peaux Sensibles Déshydratées - Hydratant 24h, Repulpant - À l'Acide Hyaluronique Pur, Vitamines B3 + B5 - Hypoallergénique - 30 ml",N/A,Cosmétique et Beauté,"4,5"
