nom_produit,prix,categorie,note
"OUAI Sérum pour cuir chevelu – Sérum capillaire équilibrant à l'extrait de trèfle rouge, au ginseng sibérien et aux peptides pour des cheveux plus épais et plus volumineux – Soin du cuir chevelu sans","54,95€",Cosmétique de Luxe et Soins,"4,4"
"medicube Hidratante Facial Deep Vitamin C Golden Capsule, Cápsulas Liposomales Para Arrugas, Gel Transparente Para Una Piel Radiante Y Luminosa – 1.94 oz","17,90€",Cosmétique de Luxe et Soins,"4,6"
Ouai OUAI Hair Gloss - Brillance immédiate - Protège contre les dommages causés par la chaleur - Renforce les cheveux - Prévient la décoloration des cheveux - Traitement capillaire contre les dommages,"34,00€",Cosmétique de Luxe et Soins,"4,1"
"Clean Skin Club Clean Towels XL®, lingettes visage 100% biosourcées USDA, jetables, ultra-douces, approuvées eczéma, démaquillantes à sec, 1 paquet de 50 lingettes.","17,95€",Cosmétique de Luxe et Soins,"4,6"
L'Oréal Paris - Revitalift Laser X3 - Sérum Visage Anti-Âge Peau Neuve Triple Action Multi-Correction - À l'Acide Hyaluronique et au Pro-Xylane Concentré (3%) - Pour Tous Types de Peaux - 30 ml,"14,70€",Cosmétique de Luxe et Soins,"4,4"
"Erborian - CC Dull Correct - Soin Perfecteur Automatique de Teint - à Base de Centella Asiatica - Booster d’Eclat Illuminateur, Peau Unifiée - Crème Visage - Produit Coréen","17,92€",Cosmétique de Luxe et Soins,"4,5"
"Vichy, Minéral 89, Crème Jour Boost Visage, Hydratation 72H, Enrichie en Acide Hyaluronique & Squalane, Pour Tous Types de Peau, 50 ml","20,50€",Cosmétique de Luxe et Soins,"4,6"
"ELEMIS Crème Dynamic Resurfacing SPF30, anti-rides, gel hydratant ultra léger pour le visage","99,20€",Cosmétique de Luxe et Soins,"4,6"
Clinique for men crème hydratante anti-âge 100ml,"60,50€",Cosmétique de Luxe et Soins,"4,7"
"[PKY] Pyunkang Yul Gel Peeling – Exfoliant Visage Doux, Soin de la Peau Coréen (120 ml, 4 Fl. Oz)","19,39€",Cosmétique de Luxe et Soins,"4,2"
"L'Oréal Paris - Sérum Teinté Repulpant - Accord Parfait - Teinte : 0,5-2 Very Light - 30 ml","17,99€",Cosmétique de Luxe et Soins,"4,4"
"Biotherm Homme, Aquapower Gel SPF14 Homme, Gel Frais et Protecteur Visage et Cou, Peau Nourrie et Revitalisée, Enrichi en Eau Thermale de Plancton et Oligo-Éléments, 75 ml","37,15€",Cosmétique de Luxe et Soins,"4,4"
Erborian - Crème Teintée CC Water à la Centella Asiatica - Soin Visage Perfecteur de Peau avec Acide Hyaluronique - Texture Gel Ultra Légère et Fraîche - Soin Cosmétique Coréen,"31,85€",Cosmétique de Luxe et Soins,"4,5"
"[Lot de 3] Hadalabo Gokujyun Premium Lotion Hydratante Hyaluronique 170ml, Fabriqué au Japon","44,99€",Cosmétique de Luxe et Soins,"4,7"
Shiseido AQUALABEL Face Wash | White Clear Foam 130g,"26,88€",Cosmétique de Luxe et Soins,"4,3"
TSUBAKI Premium Moist Conditioner Bottle 490 ml 2020,"22,99€",Cosmétique de Luxe et Soins,"4,6"
"Les Secrets de Loly – Repair Time – Masque hydratant Fortifiant & démêlage facile – Cheveux ondulés, bouclés, frisés et crépus – +96% d'origine naturelle – 230 ml","21,50€",Cosmétique de Luxe et Soins,"4,4"
"Yepoda The Night Light, Crème Hydratante Apaisante et Purifiante de Nuit Sans Huile avec Aloe Vera, Armoise et Niacinamide, Crème Visage Végane Coréenne Hydratante pour Tous Types de Peau, 50 ml","26,00€",Cosmétique de Luxe et Soins,"4,6"
"CATKIN Fond De Teint Cushion, Formule Légère Et Longue Tenue, Anti-Âge, Effet Naturel, Extraits De Plantes 7 En 1, Finition Satinée Transparente, Recharges Incluses, 13g*2","28,99€",Cosmétique de Luxe et Soins,"4,0"
"KIMUSE Hydratant Multi Balm Stick, Moisturising Balm Stick, Hydratant Pour les soins du visage","13,29€",Cosmétique de Luxe et Soins,"4,0"
Shiseido Make Sponge Puff Artist Touch - 118,"26,88€",Cosmétique de Luxe et Soins,"4,8"
Tsubaki Premium Hair Repair Masque capillaire,"25,29€",Cosmétique de Luxe et Soins,"5,0"
Erborian - Super BB Crème au Ginseng - Soin du Visage Teinté Haute Couvrance Anti-Imperfections - Correcteur et Perfecteur de Teint - Protection Solaire SPF 20 - Cosmétique Coréen,"15,89€",Cosmétique de Luxe et Soins,"4,4"
Tsubaki Shiseido conditionneur de Cheveux Brillants Doux 450mL,"45,50€",Cosmétique de Luxe et Soins,"4,0"
"Erborian - CC Eye Crème Contour des Yeux à la Centella Asiatica - Soin Hydratant, Illuminateur et Correcteur Teinté - Protection Solaire SPF 20 - Lisse et Corrige les Cernes","19,90€",Cosmétique de Luxe et Soins,"4,4"
Shiseido Tsubaki Repair Milk 100ml (Green Tea Set),"68,90€",Cosmétique de Luxe et Soins,"4,1"
"[Lot de 2] Hada Labo Gokujyun Premium Lait Hydratant à l’Acide Hyaluronique 140 ml, Fabriqué au Japon","33,55€",Cosmétique de Luxe et Soins,"4,7"
"Senka Perfect Whip 120g, Mousse Nettoyante Hydratante Visage, Enrichie en Soie et Acide Hyaluronique, Fabriqué au Japon, Set de 3","26,14€",Cosmétique de Luxe et Soins,"4,7"
Senka Perfect Whip White Clay n Facial Ｗash - 120g Blotting Paper Set,"14,99€",Cosmétique de Luxe et Soins,"4,3"
PYUNKANG YUL Brightening Vita Toner (150 ml),"19,44€",Cosmétique de Luxe et Soins,"4,3"
Shiseido Lot de 24 coussinets de rechange pour recourbe-cils en silicone,"12,21€",Cosmétique de Luxe et Soins,"4,2"
UKLASH Eyelash Growth Serum For Longer & Fuller Lashes - 3ml. Clinically Proven Formula for Naturally Longer Lashes and Extensions. Vegan & Cruelty-Free,"39,00€",Cosmétique de Luxe et Soins,"4,3"
"HUYGENS - La Boue de Beauté – Certifiée BIO - Masque Eclat Purifiant – 50ml - Adoucie, Apaise la Peau Stressée et Unifie le Teint – 99% naturelle - À l’Argile Violette - Vegan - Made In France","25,00€",Cosmétique de Luxe et Soins,"4,8"
"Kleem Organics Gel Bio Contour des Yeux Anti-Âge – Réduit Rides, Cernes, Poches et Pattes d'Oie – Enrichie en Peptides, Niacinamide et Acide Hyaluronique – Hydratant Naturel 15 ml","18,97€",Cosmétique de Luxe et Soins,"4,0"
"8PCS Bio Collagen Real Deep Mask, Masque Collagene, Masque BioCollagene Visage Coréen, Bio Collagen Mask, Hydratation Profonde et Durable, Réduction des Pores et Des Rides","14,77€",Cosmétique de Luxe et Soins,"3,9"
"M. Asam MAGIC CARE Perfect Teint Crème Correctrice (30 Ml) - Le Maquillage Transparent Fait Immédiatement Disparaître les Rides, Effet Flouteur, Affine le Dessin des Pores et Matifie, Végétalien","24,50€",Cosmétique de Luxe et Soins,"4,1"
"L’Oréal Paris – Coffret Duo Age Perfect Renaissance Cellulaire – 1x Crème de Jour Revitalisante et 1x Midnight Sérum Anti-rides, Fermeté, Éclat – Au Complexe Antioxydant – Tous Types de Peaux","27,90€",Cosmétique de Luxe et Soins,"4,4"
Shiseido Maquillage Dramatic Powdery UV Foundation Refill SPF25 PA+++ OC10,"84,00€",Cosmétique de Luxe et Soins,"4,4"
"I'm from Tonique au riz, 77,78% d'extrait de riz de Corée, essence lumineuse avec niacinamide, hydratant pour peaux sèches, végétalien, sans alcool, sans parfum, approuvé par Peta, 5,07 fl oz","28,69€",Cosmétique de Luxe et Soins,"4,4"
Hada Labo Gokujun Premium Hyaluronic Emulsion Cream Fall 2020 Renewal 140mL,"18,90€",Cosmétique de Luxe et Soins,"4,6"
"Hada Labo Rohto Gokujyn Hyaluronic Acid Cleansing Foam, 160ml","18,00€",Cosmétique de Luxe et Soins,"4,5"
SHISEIDO TSUBAKI HAIR WATERI SMOOTH & STRAIGHT WATER 220ML,"43,00€",Cosmétique de Luxe et Soins,"4,1"
Shiseido Senscience True Hue L'Oréal Shampoing 1000 ml 1 l,"90,95€",Cosmétique de Luxe et Soins,"4,6"
"Erborian - CC Dull Correct - Soin Perfecteur Automatique de Teint - à Base de Centella Asiatica - Booster d’Eclat Illuminateur, Peau Unifiée - Crème Visage - Produit Coréen","30,89€",Cosmétique de Luxe et Soins,"4,5"
"Shiseido"" TSUBAKI"" VOLUME HAIR SHAMPOO REFILL 660ML // Tsubaki Shampooing doux REFILL 660 ML","79,62€",Cosmétique de Luxe et Soins,"4,1"
SHISEIDO TSUBAKI HAIR WATER VOLUME TYPE BOTTLE 220ML,"43,00€",Cosmétique de Luxe et Soins,"4,1"
"Thalgo, Crema corporal - 40 gr.","36,90€",Cosmétique de Luxe et Soins,"4,3"
Shiseido AQUALABEL Face Wash | Milky Mousse Foam 130g by AQUALABEL,"26,77€",Cosmétique de Luxe et Soins,"4,2"
Bare Minerals Beautiful Finish Brush Pinceau,"27,14€",Cosmétique de Luxe et Soins,"4,6"
SHISEIDO Artists Touch #119 Sponge Puff (For Emulsifying Type),"31,03€",Cosmétique de Luxe et Soins,"4,2"
Rouge à lèvres Lacquerink Shiseido,"22,19€",Cosmétique de Luxe et Soins,"4,5"
Shiseido Japan Majolica Majorca Makeup Puff de Cheek Blush 7g/0.23 fl.ozPK301 by Shiseido,"34,08€",Cosmétique de Luxe et Soins,"4,0"
"Lot de 24 recharges de recourbe-cils compatibles avec Shiseido, recharges en silicone compatibles avec Shiseido, colorées","14,88€",Cosmétique de Luxe et Soins,"4,8"
TSUBAKI SMOOTH & STRAIGHT CONDITIONER 450ML,"49,00€",Cosmétique de Luxe et Soins,"3,8"
Senka Perfect Whip u Facial Wash -120g 2pcs Blotting Paper Set,"31,99€",Cosmétique de Luxe et Soins,"5,0"
Senka All Clear Double Facial Foam W - 150ml Blotting Paper Set,"26,88€",Cosmétique de Luxe et Soins,N/A
Lalique - Encre noire - Eau de toilette pour homme 100 ml,"35,15€",Cosmétique de Luxe et Soins,"4,5"
"Yepoda The Porefect Pad, tampons toniques exfoliants à l’eau de rose, AHA, BHA & PHA, Exfoliation douce & raffermissant les pores, tampons toniques coréens végétaliens pour tous les types de peau, 60","29,00€",Cosmétique de Luxe et Soins,"4,6"
Senka Speedy Perfect Whip Moist Touch - 150ml Blotting Paper Set,"24,88€",Cosmétique de Luxe et Soins,"5,0"
"Theramid Derma-Peptides 35% 30 ml – 9 peptides biomimétiques, anti-âge, raffermissant, réduit les rides et stimule la production de collagène et d'élastine pour une peau d'apparence plus jeune","32,95€",Cosmétique de Luxe et Soins,"4,5"
ROSELASH Nouvelle Formule Sérum de Croissance de Pousse Cils plus fournis longs épais - Fabriqué en France - Sans hormone Sans parfum - Vegan,"27,00€",Cosmétique de Luxe et Soins,"4,2"
"OUAI Sérum pour cuir chevelu – Sérum capillaire équilibrant à l'extrait de trèfle rouge, au ginseng sibérien et aux peptides pour des cheveux plus épais et plus volumineux – Soin du cuir chevelu sans","54,95€",Cosmétique de Luxe et Soins,"4,4"
"medicube Hidratante Facial Deep Vitamin C Golden Capsule, Cápsulas Liposomales Para Arrugas, Gel Transparente Para Una Piel Radiante Y Luminosa – 1.94 oz","17,90€",Cosmétique de Luxe et Soins,"4,6"
Ouai OUAI Hair Gloss - Brillance immédiate - Protège contre les dommages causés par la chaleur - Renforce les cheveux - Prévient la décoloration des cheveux - Traitement capillaire contre les dommages,"34,00€",Cosmétique de Luxe et Soins,"4,1"
"Elizabeth Arden Coffret Trio Rétinol + HPR, Ceramide Aqua-Crème Régénérante, Capsules Sérum Rétinol + HPR, Contour des Yeux Retinol, Cadeau femme, Soin hydratant, Anti-âge","35,00€",Cosmétique de Luxe et Soins,"4,7"
Lot de 30 recharges universelles pour recourbe-cils Shiseido - Recharges universelles en caoutchouc de silicone avec boîte de rangement transparente (noir),"7,57€",Cosmétique de Luxe et Soins,N/A
Paula’s Choice Crème Hydratante Repulpante Peptides Pro-Collagène - Crème pour le Visage - Lisse et Hydrate - Repulpe et Réduit les Ridules - Avec Hexapeptide-5 - Tous Types de Peau - 50 ml,"56,00€",Cosmétique de Luxe et Soins,"4,1"
Paula's Choice SKIN PERFECTING 2% BHA Lotion Exfoliante - Gommage Visage avec Acide Salicylique - Réduire les Points Noirs & Pores Dilatés - pour Peau Mixte et Peau Grasse - 30 ml,"14,00€",Cosmétique de Luxe et Soins,"4,2"
COCOSOLIS Rose Clean & Hydrate Mousse nettoyante pour le visage en profondeur avec acide hyaluronique hydratant et glycérine,"33,00€",Cosmétique de Luxe et Soins,"3,8"
d Fond de Teint Soin de la Peau de Programme (Poudre) Ocre 20 (Recharge) [10.5g Quasi-médicaments],"79,60€",Cosmétique de Luxe et Soins,"4,3"
UNO Hot Clear Gel Scrub 120g - Traditional Blotting Paper Set,"23,88€",Cosmétique de Luxe et Soins,"4,2"
